USER_ID,DOB_STR,STATUS
1807001,19042001,ADMIN
1807002,18012005,ACTIVE
1807003,02092002,BLACKLIST
1807004,11101996,NON-ACTIVE
1808101,01011900,NON-ACTIVE
1808102,16032004,ACTIVE
1808103,04032002,ACTIVE
1808104,01011900,NON-ACTIVE
1808105,01011900,NON-ACTIVE
1808107,09122004,ACTIVE
1808108,18102004,ACTIVE
1808109,21042003,ADMIN
1808110,24052003,ADMIN
1808113,01011900,NON-ACTIVE
1808115,04061989,ACTIVE
1808116,21082001,ACTIVE
1808118,01011900,NON-ACTIVE
1808119,24112004,ACTIVE
1808121,30071983,ACTIVE
1808122,02052005,ACTIVE
1808123,30012002,ASSOCIATE
1808124,29012000,ACTIVE
1809101,03102018,ACTIVE
1809102,08102000,ACTIVE
1809103,14122001,ACTIVE
1809104,13022003,ACTIVE
1809105,01011900,NON-ACTIVE
1809106,28122003,ACTIVE
1809107,03022017,ACTIVE
1809108,24072004,ACTIVE
1809109,18052003,ACTIVE
1809110,15032007,ACTIVE
1809111,04122005,ACTIVE
1809112,11032000,ACTIVE
1809113,12092003,ACTIVE
1809114,01011900,NON-ACTIVE
1809115,01011900,NON-ACTIVE
1809116,18032004,ACTIVE
1809117,03022006,ACTIVE
1809118,28012006,ACTIVE
1809119,23021989,ACTIVE
1809120,27121998,BLACKLIST
1810101,21042004,ACTIVE
1810103,05061998,ACTIVE
1810104,12122005,ACTIVE
1810105,17012002,ACTIVE
1810106,05052006,ACTIVE
1810107,27072005,ACTIVE
1810108,19042000,ACTIVE
1810111,27071987,ACTIVE
1810112,29042018,ACTIVE
1810113,23052018,ACTIVE
1810114,29112005,ACTIVE
1810116,17102005,ACTIVE
1810117,21022007,ACTIVE
1810118,20072006,ACTIVE
1810120,17042002,ACTIVE
1810121,13082004,ACTIVE
1810122,20062004,ACTIVE
1810123,01052006,ACTIVE
1810125,18052005,ACTIVE
1811101,01042007,ACTIVE
1811103,18031999,ACTIVE
1811104,13031999,ACTIVE
1811105,13062003,ACTIVE
1811108,07072002,ACTIVE
1811109,09121997,BLACKLIST
1811111,24061997,ACTIVE
1811112,03112005,ACTIVE
1811113,30081996,ACTIVE
1811114,29031984,ACTIVE
1812101,31082005,ACTIVE
1812102,23121994,ACTIVE
1812103,01011900,NON-ACTIVE
1812104,03122004,ACTIVE
